VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,pickup_longitude,pickup_latitude,RatecodeID,store_and_fwd_flag,dropoff_longitude,dropoff_latitude,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,trip_id
1,2016-03-01 00:00:00,2016-03-01 00:07:55,1,2.5,-73.97674560546875,40.765151977539055,1,N,-74.00426483154298,40.74612808227539,1,9.0,0.5,0.5,2.05,0.0,0.3,12.35,0
1,2016-03-01 00:00:00,2016-03-01 00:11:06,1,2.9,-73.98348236083984,40.767925262451165,1,N,-74.00594329833984,40.7331657409668,1,11.0,0.5,0.5,3.05,0.0,0.3,15.35,1
2,2016-03-01 00:00:00,2016-03-01 00:31:06,2,19.98,-73.78202056884764,40.64480972290039,1,N,-73.97454071044923,40.6757698059082,1,54.5,0.5,0.5,8.0,0.0,0.3,63.8,2
2,2016-03-01 00:00:00,2016-03-01 00:00:00,3,10.78,-73.86341857910156,40.769813537597656,1,N,-73.96965026855469,40.757766723632805,1,31.5,0.0,0.5,3.78,5.54,0.3,41.62,3
2,2016-03-01 00:00:00,2016-03-01 00:00:00,5,30.43,-73.97174072265625,40.79218292236328,3,N,-74.17716979980467,40.69505310058594,1,98.0,0.0,0.0,0.0,15.5,0.3,113.8,4
2,2016-03-01 00:00:00,2016-03-01 00:00:00,5,5.92,-74.01719665527344,40.70538330078125,1,N,-73.97807312011719,40.75578689575195,1,23.5,1.0,0.5,5.06,0.0,0.3,30.36,5
2,2016-03-01 00:00:00,2016-03-01 00:00:00,6,5.72,-73.99458312988281,40.72784805297852,1,N,0.0,0.0,2,23.0,0.5,0.5,0.0,0.0,0.3,24.3,6
1,2016-03-01 00:00:01,2016-03-01 00:16:04,1,6.2,-73.78877258300781,40.64775848388672,1,N,-73.82920837402342,40.712345123291016,3,20.5,0.5,0.5,0.0,0.0,0.3,21.8,7
1,2016-03-01 00:00:01,2016-03-01 00:05:00,1,0.7,-73.95822143554686,40.76464080810546,1,N,-73.9678955078125,40.76290130615234,1,5.5,0.5,0.5,2.0,0.0,0.3,8.8,8
2,2016-03-01 00:00:01,2016-03-01 00:24:06,3,7.18,-73.98577880859375,40.74119186401367,1,N,-73.94635009765625,40.79787826538086,1,23.5,0.5,0.5,3.2,0.0,0.3,28.0,9
2,2016-03-01 00:00:01,2016-03-01 00:02:03,2,0.54,-73.9884262084961,40.76416015625,1,N,-73.99239349365233,40.75822448730469,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,10
1,2016-03-01 00:00:02,2016-03-01 00:07:49,1,1.7,-73.96981811523438,40.79742813110352,1,N,-73.94377136230467,40.796199798583984,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,11
1,2016-03-01 00:00:02,2016-03-01 00:03:05,1,1.1,-73.95380401611328,40.78812789916992,1,N,-73.97154998779298,40.79523849487305,1,5.5,0.5,0.5,2.2,0.0,0.3,9.0,12
2,2016-03-01 00:00:02,2016-03-01 00:09:32,1,2.1,-73.97608947753906,40.75217056274414,1,N,-73.9874496459961,40.770782470703125,1,9.0,0.5,0.5,2.06,0.0,0.3,12.36,13
2,2016-03-01 00:00:02,2016-03-01 00:24:11,1,8.54,-74.00206756591797,40.719120025634766,1,N,-73.95211791992188,40.81124114990234,1,27.0,0.5,0.5,5.66,0.0,0.3,33.96,14
2,2016-03-01 00:00:02,2016-03-01 00:08:24,1,2.0,-74.00672912597656,40.730716705322266,1,N,-74.01704406738281,40.70936584472656,1,8.5,0.5,0.5,2.0,0.0,0.3,11.8,15
1,2016-03-01 00:00:03,2016-03-01 00:09:23,1,3.2,-74.0066146850586,40.716621398925774,1,N,-73.99010467529298,40.75605010986328,2,11.0,0.5,0.5,0.0,0.0,0.3,12.3,16
2,2016-03-01 00:00:03,2016-03-01 00:08:34,1,1.59,-73.98226928710938,40.7706184387207,1,N,-73.96874237060547,40.75503921508789,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,17
2,2016-03-01 00:00:03,2016-03-01 00:32:45,3,16.81,-73.79238891601561,40.6450309753418,2,N,-73.98628997802734,40.75851821899414,1,52.0,0.0,0.5,8.0,5.54,0.3,66.34,18
1,2016-03-01 00:00:04,2016-03-01 00:03:30,2,0.5,-73.9837875366211,40.73189163208008,1,N,-73.97581481933594,40.72851943969727,1,4.5,0.5,0.5,1.15,0.0,0.3,6.95,19
1,2016-03-01 00:00:04,2016-03-01 00:06:11,1,0.6,-73.9994125366211,40.738563537597656,1,N,-74.00245666503906,40.74532699584961,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,20
1,2016-03-01 00:00:04,2016-03-01 00:19:39,1,9.9,-73.86585998535155,40.77117919921875,1,N,-73.92384338378906,40.69843292236328,2,28.5,0.5,0.5,0.0,0.0,0.3,29.8,21
2,2016-03-01 00:00:04,2016-03-01 00:02:24,2,0.8,-73.96642303466798,40.76165008544922,1,N,-73.95902252197266,40.76818084716797,1,4.5,0.5,0.5,1.16,0.0,0.3,6.96,22
2,2016-03-01 00:00:05,2016-03-01 00:02:50,2,0.49,-73.9898681640625,40.757118225097656,1,N,-73.98538970947266,40.76319122314453,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,23
2,2016-03-01 00:00:05,2016-03-01 00:14:55,1,5.31,-73.98406982421875,40.74290084838867,1,N,-73.94271087646483,40.71472930908203,1,17.0,0.5,0.5,4.58,0.0,0.3,22.88,24
1,2016-03-01 00:00:06,2016-03-01 00:12:11,1,3.5,-74.00041961669923,40.72746276855469,1,N,-73.94773864746092,40.70987319946289,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,25
